step,thrust,turn,x,y,theta
466,0.701386,0.076284,384.701,245.826,2.870609
467,0.702685,0.109987,384.024,246.008,2.879763
468,0.705153,0.148900,383.343,246.181,2.892962
469,0.708035,0.150825,382.656,246.342,2.910830
470,0.709179,0.101550,381.964,246.492,2.928929
471,0.707288,0.100594,381.269,246.633,2.941115
472,0.713706,0.055988,380.574,246.765,2.953186
473,0.708921,0.061083,379.872,246.894,2.959904
474,0.713622,0.020281,379.174,247.017,2.967234
475,0.714080,0.023045,378.471,247.139,2.969668
476,0.712521,-0.024775,377.767,247.260,2.972434
477,0.704869,-0.057452,377.065,247.382,2.969461
478,0.698187,-0.016317,376.372,247.507,2.962566
479,0.698187,-0.009726,375.685,247.633,2.960608
480,0.698537,0.002412,374.998,247.759,2.959441
481,0.689517,-0.043150,374.311,247.886,2.959731
482,0.692777,-0.045159,373.634,248.014,2.954553
483,0.688717,-0.126230,372.954,248.146,2.949134
484,0.688999,-0.171566,372.280,248.288,2.933986
485,0.688403,-0.164562,371.609,248.444,2.913398
486,0.685767,-0.197504,370.941,248.613,2.893651
487,0.687138,-0.122161,370.281,248.797,2.869950
488,0.685873,-0.146285,369.622,248.991,2.855291
489,0.678283,-0.136566,368.967,249.196,2.837737
490,0.685964,-0.123339,368.323,249.410,2.821349
491,0.692494,-0.071274,367.676,249.635,2.806548
492,0.694146,-0.063094,367.023,249.869,2.797995
493,0.696129,-0.031087,366.372,250.107,2.790424
494,0.699731,-0.112671,365.719,250.349,2.786693
495,0.697972,-0.073763,365.066,250.601,2.773173
496,0.694132,-0.064628,364.417,250.859,2.764321
497,0.693248,-0.148278,363.774,251.119,2.756566
498,0.692011,-0.144915,363.136,251.391,2.738772
499,0.691945,-0.015815,362.504,251.673,2.721383
500,0.696783,0.035079,361.873,251.957,2.719485
501,0.694915,0.037048,361.236,252.240,2.723694
502,0.692979,-0.022573,360.600,252.519,2.728140
503,0.692052,-0.020428,359.966,252.799,2.725431
504,0.695891,-0.012662,359.334,253.080,2.722980
505,0.699577,0.028969,358.699,253.364,2.721461
506,0.703205,0.033779,358.059,253.647,2.724937
507,0.700776,0.104253,357.415,253.929,2.728990
508,0.694925,0.060876,356.769,254.202,2.741501
509,0.690458,0.047136,356.127,254.468,2.748806
510,0.693993,-0.027432,355.488,254.729,2.754462
511,0.696406,-0.074228,354.846,254.993,2.751170
512,0.691212,-0.066000,354.204,255.264,2.742263
513,0.693241,-0.026269,353.570,255.537,2.734343
514,0.692462,-0.053825,352.934,255.814,2.731191
515,0.691635,-0.090585,352.301,256.094,2.724732
516,0.693829,-0.044755,351.672,256.381,2.713861
517,0.696615,-0.040672,351.042,256.672,2.708491
518,0.699729,-0.080570,350.411,256.968,2.703610
519,0.699933,-0.161092,349.780,257.271,2.693942
520,0.698240,-0.076033,349.155,257.586,2.674611
521,0.699714,0.007636,348.535,257.906,2.665487
522,0.698107,0.055034,347.912,258.226,2.666403
523,0.698579,0.043704,347.290,258.541,2.673007
524,0.704628,0.039941,346.665,258.854,2.678252
525,0.705092,0.123009,346.033,259.165,2.683045
526,0.706176,0.131372,345.396,259.468,2.697806
527,0.706919,0.160135,344.754,259.761,2.713570
528,0.707097,0.142396,344.105,260.042,2.732787
529,0.705772,0.098413,343.451,260.312,2.749874
530,0.701408,0.065274,342.796,260.574,2.761684
531,0.699952,0.068096,342.142,260.829,2.769517
532,0.696514,0.063900,341.488,261.078,2.777688
533,0.690012,0.053846,340.836,261.321,2.785356
534,0.684808,0.123337,340.187,261.557,2.791818
535,0.681793,0.164459,339.541,261.783,2.806618
536,0.680851,0.196451,338.892,261.994,2.826353
537,0.681696,0.118944,338.240,262.190,2.849927
538,0.685670,0.096778,337.585,262.376,2.864201
539,0.688177,0.049409,336.923,262.557,2.875814
540,0.691258,0.049423,336.258,262.733,2.881743
541,0.691732,0.005896,335.589,262.907,2.887674
